"1 / A-DATA Technology AX5U6000C4016G-DCLAWH 16GB /   30,232 MB/s"
"2 / Kingston KF560C36-32 32GB /   28,205 MB/s"
"3 / Essencore Limited KD5AGUA80-62E400S 16GB /   28,122 MB/s"
"4 / Kingston KF552C36-32 32GB /   28,037 MB/s"
"5 / Corsair CMT64GX5M2B6000Z40 32GB /   27,899 MB/s"
"6 / A-DATA Technology AX5U6000C4016G-CLAWH 16GB /   27,424 MB/s"
"7 / Corsair CMT32GX5M2D6000Z36 16GB /   27,385 MB/s"
"8 / A-DATA Technology AX5U6000C4016G-BLARBK 16GB /   27,287 MB/s"
"9 / Corsair CMH32GX5M2B6000Z30 16GB /   27,028 MB/s"
"10 / Kingston 9965794-016.A00G 32GB /   26,906 MB/s"
"11 / Corsair CMH64GX5M2B6000Z40 32GB /   26,799 MB/s"
"12 / G Skill Intl F5-6000J3038F16G 16GB /   26,787 MB/s"
"13 / Corsair CMK32GX5M1B5600C40 32GB /   26,691 MB/s"
"14 / Corsair CMT32GX5M2B6000Z30 16GB /   26,665 MB/s"
"15 / Corsair CMK64GX5M2B6600C32 32GB /   26,564 MB/s"
"16 / A-DATA Technology AX5U6000C3016G-BLARBK 16GB /   26,090 MB/s"
"17 / Gloway International Co. Ltd. VGM5UH60C30AG-DTACWN 16GB /   25,429 MB/s"
"18 / Corsair CMH64GX5M2B6000C40 32GB /   25,342 MB/s"
"19 / A-DATA Technology AX5U6000C4016G-CLARBK 16GB /   25,318 MB/s"
"20 / Corsair CMK32GX5M2D6000Z36 16GB /   25,236 MB/s"
"21 / G Skill Intl F5-5200J3636D32G 32GB /   25,159 MB/s"
"22 / G Skill Intl F5-6000J3238F16G 16GB /   25,154 MB/s"
"23 / Corsair CMH32GX5M2D6000Z36 16GB /   25,066 MB/s"
"24 / Corsair CMK32GX5M2B5200Z40 16GB /   25,052 MB/s"
"25 / Corsair CMK64GX5M2B5200Z40 32GB /   24,982 MB/s"
"26 / G Skill Intl F5-6000J3040G32G 32GB /   24,945 MB/s"
"27 / G Skill Intl F5-5200J3636C16G 16GB /   24,697 MB/s"
"28 / Kingston KVR48U40BS8-16 16GB /   24,569 MB/s"
"29 / Corsair CMH64GX5M2B5600C36 32GB /   24,552 MB/s"
"30 / Kingston KF560C36-16 16GB /   24,537 MB/s"
"31 / Corsair CMT64GX5M2B5200Z40 32GB /   24,492 MB/s"
"32 / Crucial Technology CT16G52C42U5.M8G1 16GB /   24,486 MB/s"
"33 / Kingston 9965800-015.A00G 16GB /   24,302 MB/s"
"34 / Kingston KF552C36-16 16GB /   24,292 MB/s"
"35 / Corsair CMK32GX5M2B5600Z36 16GB /   24,233 MB/s"
"36 / Corsair CMK64GX5M2B5600Z40 32GB /   24,032 MB/s"
"37 / Corsair CMH32GX5M2B5200Z40 16GB /   23,831 MB/s"
"38 / Corsair CMK64GX5M2B6000Z40 32GB /   23,790 MB/s"
"39 / Kingston 9905782-029.A00G 32GB /   23,697 MB/s"
"40 / Corsair CMH32GX5M2B5600Z36 16GB /   23,540 MB/s"
"41 / G Skill Intl F5-6000J3238G32G 32GB /   23,373 MB/s"
"42 / G Skill Intl F5-5600J3036D32G 32GB /   23,184 MB/s"
"43 / Corsair CMK5S32G3B56Z40A2 32GB /   23,049 MB/s"
"44 / G Skill Intl F5-6000J3636F16G 16GB /   23,046 MB/s"
"45 / Kingston 9905783-047.A01G 16GB /   22,725 MB/s"
"46 / Corsair CMT32GX5M2X6600C32 16GB /   22,574 MB/s"
"47 / G Skill Intl F5-5200J4040A16G 16GB /   22,489 MB/s"
"48 / Corsair CMH32GX5M2X6400C38 16GB /   22,416 MB/s"
"49 / G Skill Intl F5-5600J3036D16G 16GB /   22,328 MB/s"
"50 / Kingston KF568C36-16 16GB /   22,327 MB/s"
"51 / G Skill Intl F5-5600J3636D32G 32GB /   22,269 MB/s"
"52 / Kingston KF560C32-16 16GB /   22,201 MB/s"
"53 / Patriot Memory (PDP Systems) 6200 C40 Series 16GB /   22,055 MB/s"
"54 / Kingston KF556C36-32 32GB /   22,004 MB/s"
"55 / Kingston 9905782-105.A00G 32GB /   21,865 MB/s"
"56 / Corsair CMK32GX5M2B6400C32 16GB /   21,806 MB/s"
"57 / G Skill Intl F5-6000J3040F16G 16GB /   21,777 MB/s"
"58 / Corsair CMH32GX5M2B6200C36 16GB /   21,653 MB/s"
"59 / Samsung M323R2GA3DB0-CWMOL 16GB /   21,643 MB/s"
"60 / Team Group Inc. UD5-6000 16GB /   21,513 MB/s"
"61 / G Skill Intl F5-5600J2834F32G 32GB /   21,482 MB/s"
"62 / PNY Technologies, Inc. 16GP1X1660HHH76-13-K 16GB /   21,275 MB/s"
"63 / Corsair CMT32GX5M2B5600Z36 16GB /   21,250 MB/s"
"64 / G Skill Intl F5-5600J2834F16G 16GB /   21,223 MB/s"
"65 / Kingston KF564C32-16 16GB /   21,218 MB/s"
"66 / Corsair CMH64GX5M2B5200Z40 32GB /   21,180 MB/s"
"67 / Patriot Memory (PDP Systems) 5600 C36 Series 16GB /   21,131 MB/s"
"68 / Corsair CMH64GX5M2B5600Z40 32GB /   21,111 MB/s"
"69 / G Skill Intl F5-6400J3239G32G 32GB /   21,078 MB/s"
"70 / G Skill Intl F5-7800J3646H16G 16GB /   21,030 MB/s"
"71 / Corsair CMK64GX5M2B6000C40 32GB /   20,979 MB/s"
"72 / Corsair CMH32GX5M2B6000C40 16GB /   20,941 MB/s"
"73 / Corsair CMT64GX5M2B5200C40 32GB /   20,901 MB/s"
"74 / Corsair CMT32GX5M2X6400C38 16GB /   20,901 MB/s"
"75 / Kingston KF552C40-32 32GB /   20,831 MB/s"
"76 / Team Group Inc. UD5-6200 16GB /   20,791 MB/s"
"77 / Corsair CMT64GX5M2B5600C40 32GB /   20,776 MB/s"
"78 / Corsair CMH32GX5M2B5600C36 16GB /   20,715 MB/s"
"79 / A-DATA Technology AX5U6000C3616G-B 16GB /   20,715 MB/s"
"80 / Corsair CMK32GX5M2B6200C36 16GB /   20,638 MB/s"
"81 / Kingston KF556C40-32 32GB /   20,571 MB/s"
"82 / G Skill Intl F5-7200J3445G16G 16GB /   20,424 MB/s"
